trial_num,stimulus,trigger_code,is_deviant,condition,standard_type,deviant_type,block_num,post_deviant
1,N,1,False,Control,N,N2,3,False
2,N,1,False,Control,N,N2,3,False
3,N,1,False,Control,N,N2,3,False
4,N,1,False,Control,N,N2,3,False
5,N,1,False,Control,N,N2,3,False
6,N,1,False,Control,N,N2,3,False
7,N,1,False,Control,N,N2,3,False
8,N,1,False,Control,N,N2,3,False
9,N2,12,True,Control,N,N2,3,False
10,N,1,False,Control,N,N2,3,True
11,N,1,False,Control,N,N2,3,False
12,N,1,False,Control,N,N2,3,False
13,N,1,False,Control,N,N2,3,False
14,N,1,False,Control,N,N2,3,False
15,N,1,False,Control,N,N2,3,False
16,N,1,False,Control,N,N2,3,False
17,N,1,False,Control,N,N2,3,False
18,N,1,False,Control,N,N2,3,False
19,N2,12,True,Control,N,N2,3,False
20,N,1,False,Control,N,N2,3,True
21,N,1,False,Control,N,N2,3,False
22,N,1,False,Control,N,N2,3,False
23,N,1,False,Control,N,N2,3,False
24,N,1,False,Control,N,N2,3,False
25,N,1,False,Control,N,N2,3,False
26,N,1,False,Control,N,N2,3,False
27,N,1,False,Control,N,N2,3,False
28,N,1,False,Control,N,N2,3,False
29,N,1,False,Control,N,N2,3,False
30,N,1,False,Control,N,N2,3,False
31,N2,12,True,Control,N,N2,3,False
32,N,1,False,Control,N,N2,3,True
33,N,1,False,Control,N,N2,3,False
34,N,1,False,Control,N,N2,3,False
35,N,1,False,Control,N,N2,3,False
36,N,1,False,Control,N,N2,3,False
37,N,1,False,Control,N,N2,3,False
38,N,1,False,Control,N,N2,3,False
39,N2,12,True,Control,N,N2,3,False
40,N,1,False,Control,N,N2,3,True
41,N,1,False,Control,N,N2,3,False
42,N,1,False,Control,N,N2,3,False
43,N,1,False,Control,N,N2,3,False
44,N,1,False,Control,N,N2,3,False
45,N,1,False,Control,N,N2,3,False
46,N,1,False,Control,N,N2,3,False
47,N,1,False,Control,N,N2,3,False
48,N,1,False,Control,N,N2,3,False
49,N,1,False,Control,N,N2,3,False
50,N,1,False,Control,N,N2,3,False
51,N,1,False,Control,N,N2,3,False
52,N2,12,True,Control,N,N2,3,False
53,N,1,False,Control,N,N2,3,True
54,N,1,False,Control,N,N2,3,False
55,N,1,False,Control,N,N2,3,False
56,N,1,False,Control,N,N2,3,False
57,N,1,False,Control,N,N2,3,False
58,N,1,False,Control,N,N2,3,False
59,N,1,False,Control,N,N2,3,False
60,N2,12,True,Control,N,N2,3,False
61,N,1,False,Control,N,N2,3,True
62,N,1,False,Control,N,N2,3,False
63,N,1,False,Control,N,N2,3,False
64,N,1,False,Control,N,N2,3,False
65,N,1,False,Control,N,N2,3,False
66,N,1,False,Control,N,N2,3,False
67,N2,12,True,Control,N,N2,3,False
68,N,1,False,Control,N,N2,3,True
69,N,1,False,Control,N,N2,3,False
70,N,1,False,Control,N,N2,3,False
71,N,1,False,Control,N,N2,3,False
72,N,1,False,Control,N,N2,3,False
73,N,1,False,Control,N,N2,3,False
74,N,1,False,Control,N,N2,3,False
75,N,1,False,Control,N,N2,3,False
76,N,1,False,Control,N,N2,3,False
77,N2,12,True,Control,N,N2,3,False
78,N,1,False,Control,N,N2,3,True
79,N,1,False,Control,N,N2,3,False
80,N,1,False,Control,N,N2,3,False
81,N,1,False,Control,N,N2,3,False
82,N,1,False,Control,N,N2,3,False
83,N,1,False,Control,N,N2,3,False
84,N,1,False,Control,N,N2,3,False
85,N,1,False,Control,N,N2,3,False
86,N2,12,True,Control,N,N2,3,False
87,N,1,False,Control,N,N2,3,True
88,N,1,False,Control,N,N2,3,False
89,N,1,False,Control,N,N2,3,False
90,N,1,False,Control,N,N2,3,False
91,N,1,False,Control,N,N2,3,False
92,N,1,False,Control,N,N2,3,False
93,N,1,False,Control,N,N2,3,False
94,N,1,False,Control,N,N2,3,False
95,N,1,False,Control,N,N2,3,False
96,N,1,False,Control,N,N2,3,False
97,N,1,False,Control,N,N2,3,False
98,N,1,False,Control,N,N2,3,False
99,N,1,False,Control,N,N2,3,False
100,N2,12,True,Control,N,N2,3,False
101,N,1,False,Control,N,N2,3,True
102,N,1,False,Control,N,N2,3,False
103,N,1,False,Control,N,N2,3,False
104,N,1,False,Control,N,N2,3,False
105,N,1,False,Control,N,N2,3,False
106,N,1,False,Control,N,N2,3,False
107,N,1,False,Control,N,N2,3,False
108,N,1,False,Control,N,N2,3,False
109,N,1,False,Control,N,N2,3,False
110,N2,12,True,Control,N,N2,3,False
111,N,1,False,Control,N,N2,3,True
112,N,1,False,Control,N,N2,3,False
113,N,1,False,Control,N,N2,3,False
114,N2,12,True,Control,N,N2,3,False
115,N,1,False,Control,N,N2,3,True
116,N,1,False,Control,N,N2,3,False
117,N,1,False,Control,N,N2,3,False
118,N,1,False,Control,N,N2,3,False
119,N,1,False,Control,N,N2,3,False
120,N,1,False,Control,N,N2,3,False
121,N,1,False,Control,N,N2,3,False
122,N,1,False,Control,N,N2,3,False
123,N,1,False,Control,N,N2,3,False
124,N,1,False,Control,N,N2,3,False
125,N,1,False,Control,N,N2,3,False
126,N,1,False,Control,N,N2,3,False
127,N,1,False,Control,N,N2,3,False
128,N2,12,True,Control,N,N2,3,False
129,N,1,False,Control,N,N2,3,True
130,N,1,False,Control,N,N2,3,False
131,N,1,False,Control,N,N2,3,False
132,N,1,False,Control,N,N2,3,False
133,N,1,False,Control,N,N2,3,False
134,N,1,False,Control,N,N2,3,False
135,N,1,False,Control,N,N2,3,False
136,N2,12,True,Control,N,N2,3,False
137,N,1,False,Control,N,N2,3,True
138,N,1,False,Control,N,N2,3,False
139,N2,12,True,Control,N,N2,3,False
140,N,1,False,Control,N,N2,3,True
141,N,1,False,Control,N,N2,3,False
142,N,1,False,Control,N,N2,3,False
143,N,1,False,Control,N,N2,3,False
144,N2,12,True,Control,N,N2,3,False
145,N,1,False,Control,N,N2,3,True
146,N,1,False,Control,N,N2,3,False
147,N,1,False,Control,N,N2,3,False
148,N,1,False,Control,N,N2,3,False
149,N2,12,True,Control,N,N2,3,False
150,N,1,False,Control,N,N2,3,True
151,N,1,False,Control,N,N2,3,False
152,N,1,False,Control,N,N2,3,False
153,N,1,False,Control,N,N2,3,False
154,N,1,False,Control,N,N2,3,False
155,N,1,False,Control,N,N2,3,False
